Yamoussoukro	Ivory Coast
Honiara	Solomon Islands
Islamabad	Pakistan
Jakarta	Indonesia
Jamestown	Saint Helena
Jerusalem, Tel Aviv	Israel
Jerusalem, Ramallah	Palestine
Juba	South Sudan
Kabul	Afghanistan
Kampala	Uganda
Kathmandu	Nepal
Khartoum	Sudan
Kiev	Ukraine
Kigali	Rwanda
King Edward Point	South Georgia and the South Sandwich Islands*
Kingston	Jamaica
Kingston	Norfolk Island*
Kingstown	Saint Vincent and the Grenadines
Kinshasa	DRC
Kuala Lumpur	Malaysia
Kuwait City	Kuwait
La Paz, sucre	Bolivia
Libreville	Gabon
Lilongwe	Malawi
Lima	Peru
Lisbon	Portugal
Ljubljana	Slovenia
Lobamba, Mbabane	Eswatini
Lomé	Togo
London	United Kingdom
Luanda	Angola
Lusaka	Zambia
Luxembourg	Luxembourg
Madrid	Spain
Majuro	Marshall Islands
Malabo	Equatorial Guinea
Malé	Maldives
Managua	Nicaragua
Manama	Bahrain
Manila	Philippines
Maputo	Mozambique
Marigot	Saint Martin*
Maseru	Lesotho
Mata-Utu	Wallis and Futuna*
Mexico City	Mexico
Minsk	Belarus
Mogadishu	Somalia
Monaco	Monaco
Monrovia	Liberia
Montevideo	Uruguay
Moroni	Comoros
Moscow	Russia
Muscat	Oman
Nairobi	Kenya
Nassau	Bahamas
Nay-pyi-daw	Myanmar
N'Djamena	Chad
New Delhi	India
Ngerulmud	Palau
Niamey	Niger
Nicosia	Cyprus
Nouakchott	Mauritania
Nouméa	New Caledonia*
Nukuʻalofa	Tonga
Nur-Sultan	Kazakhstan
Nuuk	Greenland*
Oranjestad	Aruba*
Oslo	Norway
Ottawa	Canada
Ouagadougou	Burkina Faso
Pago Pago	American Samoa*
Palikir	Micronesia
Panama City	Panama
Papeete	French Polynesia*
Paramaribo	Suriname
Paris	France
Philipsburg	Sint Maarten*
Phnom Penh	Cambodia
Port Louis	Mauritius
Port Moresby	Papua New Guinea
Port Vila	Vanuatu
Port-au-Prince	Haiti
Port of Spain	Trinidad and Tobago
Prague	Czech Republic
Praia	Cape Verde
Pristina	Kosovo*
Pyongyang	North Korea
Quito	Ecuador
Rabat	Morocco
Reykjavík	Iceland
Riga	Latvia
Riyadh	Saudi Arabia
Road Town	British Virgin Islands*
Rome	Italy
Roseau	Dominica
Saipan	Northern Mariana Islands*
San José	Costa Rica
San Juan	Puerto Rico
San Marino	San Marino
San Salvador	El Salvador
Santiago	Chile
Santo Domingo	Dominican Republic
São Tomé	São Tomé and Príncipe
Sarajevo	Bosnia and Herzegovina
Seoul	South Korea
Singapore	Singapore
Skopje	North Macedonia
Sofia	Bulgaria
St. George's	Grenada
St. Helier	Jersey
St. John's	Antigua and Barbuda
St. Peter Port	Guernsey
St. Pierre	Saint Pierre and Miquelon*
Stanley	Falkland Islands*
Stepanakert	Nagorno-Karabakh*
Stockholm	Sweden
Sukhumi	Abkhazia*
Suva	Fiji
Taipei	Taiwan
Tallinn	Estonia
Tarawa	Kiribati
Tashkent	Uzbekistan
Tbilisi	Georgia
Tegucigalpa	Honduras
Tehran	Iran
Thimphu	Bhutan
Tirana	Albania
Tokyo	Japan
Tórshavn	Faroe Islands*
Tripoli	Libya
Tskhinvali	South Ossetia*
Tunis	Tunisia
Ulaanbaatar	Mongolia
Vaduz	Liechtenstein
Valletta	Malta
The Valley	Anguilla*
Vatican City	Vatican City
Victoria	Seychelles
Vienna	Austria
Vientiane	Laos
Vilnius	Lithuania
Warsaw	Poland
Washington, D.C.	United States
Wellington	New Zealand
West Island	Cocos (Keeling) Islands*
Willemstad	Curaçao*
Windhoek	Namibia
Yaoundé	Cameroon
Yaren	Nauru
Yerevan	Armenia
Zagreb	Croatia
